name,location,datetime,followers,likes,retweets,tweet
news89com,"India, UAE, Kuwait, Qatar",18-03-2022 09:45,447,0,0,Apple Silicon M1 Ultra Is Nowhere Near As Powerful As NVIDIA GeForce RTX 3090a0GPU https://t.co/Y1c38eJ7OU
BellEquipe,Aichi Japan,18-03-2022 09:10,197,0,0,"Geekbench 5 and Shadow of the Tomb Raider are running on Rosetta 2.
Are the numbers from software that does not nat… https://t.co/7YTeGayXOi"
Brynhewko,Canada,18-03-2022 00:33,356,0,0,Honest question about 2019 Mac Pro and Apple Silicon: Would it be possible for Apple to release a “module” that con… https://t.co/XlzGTUudgs
EdFromFreelance,Atlanta,17-03-2022 23:11,1180,1,0,"I agree. I see 0% chance of Apple selling the M1 Ultra, or any Apple silicon, to other computer makers. Selling App… https://t.co/5GGkDXs5Xg"
dhyuta,"she/her, 21 🇮🇹",18-03-2022 22:45,505,0,0,i also used mac studio fix fluid and it was good for me but then i read they test on animals and ://
was_milky,,18-03-2022 20:57,28,0,0,"@its_shevi me neither I dont get why they would make the Mac studio 1,500 atleast make it around a PC price like 1,… https://t.co/ug0BzZdfZF"
mistacabbage,,18-03-2022 19:15,589,0,0,"@FCPdotCO @finalXtraining Mac Studio: Whats Not So Good

External storage needs to be fast to keep up

🙈🙈"
DJTechYT,"Temecula, CA",18-03-2022 18:36,291,1,0,@JohnM_Smit Mac Studio because I already have a pretty good display
John_Ogden,UK,18-03-2022 18:27,471,0,0,"@RussHollinshead More tests coming in https://t.co/YeRnSCQWrh

Looks like its a bit under on single core, a lot ove… https://t.co/sRFVSfJGtV"
MarcusLai, Los Angeles,18-03-2022 17:55,139,1,0,Good morning Mac Studio and Studio Display! ☀️ #LA https://t.co/qFpagHP3GU
FabiodaMotta5,,18-03-2022 16:56,55,0,1,RT @OnlyTrueAnika: Good night!! What are your thoughts on the Mac Studio now that reviews are out?? 🤭
GehaniNeil,San Francisco,18-03-2022 16:32,637,0,0,"Review: The Mac Studio shows us exactly why Apple left Intel behind - ⁦@arstechnica⁩ 

Pretty good review of ⁦… https://t.co/jhbWUPHf8F"
Beachtek,"Kelowna, British Columbia",18-03-2022 16:25,914,0,0,"Is the Mac Studio Good for Filmmakers? We Reviewed One to Find Out
 https://t.co/RRiePw372A https://t.co/H4bRGjzZYo"
KyleBlessing,Instagram @BlessiousPlays,18-03-2022 16:05,32152,18,0,"Hey Apple Aficionados!

Do you think the new Mac Studio would be good for OBS, Live streams and being a potential s… https://t.co/U2fGTl1IlC"
kbsez,,18-03-2022 15:21,8438,0,1,"RT @michaschmidt: so everybody is talking about the new Mac Studio, while I just installed macOS Big Sur and Final Cut Pro 10.6.1 on a 2009…"
joseluisarriola,,18-03-2022 22:49,407,0,0,"Favorite part of @MKBHD""s Mac Studio review:

If you""re bad at editing and you get this machine, you""ll still be b… https://t.co/GVWZPzP1Ev"
techysecy,Mars,18-03-2022 22:03,3,0,0,"If you are bad at editing and gets Mac Studio, You still be bad at editing but now faster!! ~@MKBHD"
shamemezahid,"Dhaka, Bangladesh",18-03-2022 21:51,19,3,0,"@MKBHD If you""re bad at editing, and you get this machine (mac studio). You""ll still be bad at editing, just faster 
- MKBHD (2022)"
postvacuous,Far out,18-03-2022 17:08,434,0,0,"The Mac Studio is ugly, putting the power supply inside the case is a bad engineering decision, the Studio Display… https://t.co/tWieoHIc4M"
kev_sounds,"Chicago, IL",18-03-2022 14:20,121,0,0,"Okay so I think ima exchange my MacBook for the Mac studio base, much more power, but no screen, I picked up a 4k m… https://t.co/pj1gmCQQbF"
cantrell,Northern VA,18-03-2022 13:35,3980,0,0,"@dskaggs Thats not bad, relatively speaking. I ordered this MacBook Pro in January. Im very curious about the Mac… https://t.co/zgluzAxypQ"
djbigdaddy,Delaware,18-03-2022 13:20,1390,0,0,This latest releases from Apple are seeming to be a swing and a miss. They overhyped the GPU power of the Mac Studi… https://t.co/C04RMeByC0
icastanheda,,18-03-2022 13:16,459,3,0,Some reviews of Apple’s Studio Display are showing that the camera is properly bad. Nice to see Apple sticking to t… https://t.co/ZELX52DJt9
eriond7,World,18-03-2022 12:39,93,0,12,"RT @tomwarren: it looks like the Mac Studio is a super impressive machine, but the Apple Studio Display? Not so much. The webcam is super b…"
AndrewAQLD,"Townsville, Queensland",18-03-2022 11:37,2113,0,0,Apple have sent out the new Mac Studio to video creators for review but it seems theyve restricted them to pure Ad… https://t.co/CqAqunqoOJ
dominocollege,"Indiana, USA",18-03-2022 02:47,511,0,1,"RT @jimmyjamesuk123: @dominocollege The Verge:

Mac Studio. A historic achievement = 8
Dell XPS 15. Runs hot and bad battery life = 8.5"
jimmyjamesuk123,,18-03-2022 01:47,73,0,1,"@dominocollege The Verge:

Mac Studio. A historic achievement = 8
Dell XPS 15. Runs hot and bad battery life = 8.5"
DigitalDavidREV,"Ohio, USA",17-03-2022 23:38,2187,2,0,Does anyone have anything bad to say about the Mac Studio? Seems like everyone is in the honeymoon phase right now.… https://t.co/e8TiuQ18sr
kevinbatres,CA,17-03-2022 19:08,230,0,0,@tldtoday I have to know cause I’ve been debating on the new display. Mostly the computer. I have the 16” MacBook P… https://t.co/dfhRE68CPA
jrobertweeks,"Columbus, OH | Mansfield, OH",17-03-2022 16:03,10,0,0,"@mcsquared96 I’m certainly not the target market for the Mac Studio, so I feel less bad about saying this, but I fi… https://t.co/bMPEwV2nCE"
ItchyQ84,,18-03-2022 17:22,38,0,8,"RT @WIRED: WIRED
Excellent performance. Easy setup. Relatively compact. Plenty of ports. Up to 8 terabytes of storage. 

TIRED
Expensive. A…"
davidhepworth_,"Wakefield, West Yorkshire.",18-03-2022 11:09,203,0,0,"@connorjewiss Why is Apple stuff more expensive over here? The Mac Studio is £1,999 which is over $2,600 when it’s… https://t.co/S3zhmP8jzT"
batuhan,Bodrum - Istanbul,18-03-2022 10:42,5461,0,0,my favorite tech creators (king of crisp videos @MKBHD + professional expensive item dropper @LinusTech) have not y… https://t.co/MnlT2QNoVz
techosmo,WWW,18-03-2022 07:56,153,0,0,"Apple Mac Studio and Studio Display Review: A Magnificent Duo - https://t.co/9Q4zjKOZuZ
 
Being a professional cont… https://t.co/QKPHMYk0PZ"
appletesterrus,,18-03-2022 07:40,136,0,0,"emphasize that there were noticeable slowdowns during tests on Mac Studio, regardless of resolution.The Verge test… https://t.co/IxRKXVhqIp"
appletester_rus,"Москва, Россия",18-03-2022 07:39,1226,0,0,"emphasize that there were noticeable slowdowns during tests on Mac Studio, regardless of resolution.The Verge test… https://t.co/WVayFMsbLo"
Impartial_O,United States,18-03-2022 06:13,2132,0,8,"RT @WIRED: WIRED
Excellent performance. Easy setup. Relatively compact. Plenty of ports. Up to 8 terabytes of storage. 

TIRED
Expensive. A…"
carlos_e_ht,Mexamerica 🇲🇽🇺🇸,18-03-2022 05:53,1248,0,8,"RT @WIRED: WIRED
Excellent performance. Easy setup. Relatively compact. Plenty of ports. Up to 8 terabytes of storage. 

TIRED
Expensive. A…"
seniinthebox,,18-03-2022 05:52,3156,0,8,"RT @WIRED: WIRED
Excellent performance. Easy setup. Relatively compact. Plenty of ports. Up to 8 terabytes of storage. 

TIRED
Expensive. A…"
big_data_kane,,18-03-2022 05:46,8446,0,8,"RT @WIRED: WIRED
Excellent performance. Easy setup. Relatively compact. Plenty of ports. Up to 8 terabytes of storage. 

TIRED
Expensive. A…"
